16.6	24882	16870	15381	12843	12587	11172	10386	11193	9784	11442
16.7	24866	16872	15336	12822	12589	11168	10357	11191	9779	11425
16.8	24873	16873	15310	12844	12583	11199	10405	11192	9760	11423
16.9	24856	16869	15386	12837	12584	11143	10396	11205	9770	11438
17	24865	16870	15374	12840	12597	11125	10394	11196	9821	11440
17.1	24834	16877	15386	12847	12598	11141	10410	11178	9760	11442
17.2	24892	16860	15322	12861	12592	11140	10489	11202	9793	11437
17.3	24872	16876	15296	12854	12594	11099	10364	11193	9795	11457
17.4	24858	16875	15363	12875	12588	11128	10385	11200	9787	11458
17.5	24874	16875	15415	12850	12573	11160	10444	11181	9794	11471
17.6	24865	16848	15380	12839	12581	11109	10415	11187	9804	11453
17.7	24861	16879	15326	12842	12574	11112	10431	11185	9781	11472
17.8	24891	16869	15368	12836	12579	11144	10440	11196	9779	11458
17.9	24868	16864	15380	12850	12579	11159	10438	11186	9793	11476
18	24891	16849	15403	12828	12591	11119	10424	11190	9798	11470
18.1	24898	16870	15326	12816	12581	11151	10441	11199	9766	11482
18.2	24874	16852	15345	12822	12576	11165	10403	11211	9806	11565
18.3	24876	16866	15418	12805	12575	11143	10351	11194	10325	13552
18.4	24887	16863	15426	12788	12581	11119	10369	11183	11086	15462
18.5	24886	16864	15371	12792	12586	11167	10327	11452	11957	17344
18.6	24883	16854	15363	12804	12593	11129	10413	11388	12693	18676
18.7	24868	16854	15381	12799	12608	11118	10426	11423	13250	19449
18.8	24894	16858	15385	12815	12600	11095	10414	11907	14240	20316
18.9	24899	16873	15452	12817	12614	11148	10449	12277	15186	20818
19	24900	16853	15377	12815	12609	11088	10421	12579	15718	21073
19.1	24864	16843	15324	12820	12604	11112	10419	12951	16576	21267
19.2	24920	16852	15317	12798	12604	11108	10465	13364	17045	21412
19.3	24905	16866	15336	12799	12604	11126	10463	12980	17738	21281
19.4	24892	16861	15370	12825	12610	11072	10443	12641	18242	21137
19.5	24909	16852	15400	12812	12594	11082	10428	12755	18697	21148
19.6	24923	16875	15389	12816	12593	11096	10395	12639	19270	21208
19.7	24927	16870	15404	12804	12601	11085	10364	12324	19652	21121
19.8	24875	16865	15365	12803	12599	11059	10413	13100	19989	21381
19.9	24932	16866	15336	12778	12595	11101	10410	14762	20632	21864
20	24907	16872	15306	12779	12598	11116	10393	15948	21179	22132
20.1	24910	16853	15314	12808	12587	11109	10402	17470	21554	22281
20.2	24892	16854	15305	12809	12591	11131	10419	18308	21782	22253
20.3	24886	16861	15330	12805	12598	11158	10349	18268	21909	22150
20.4	24909	16862	15336	12793	12590	11175	10403	18193	21997	22162
20.5	24909	16861	15382	12790	12585	11134	10418	18448	22075	22235
20.6	24886	16849	15402	12795	12604	11162	10412	18736	22176	22291
20.7	24904	16845	15398	12812	12587	11148	10508	19319	22252	22389
20.8	24881	16850	15364	12806	12588	11179	10502	20199	22401	22511
20.9	24926	16848	15410	12818	12582	11121	10441	20897	22556	22611
21	24899	16848	15362	12821	12586	11155	10540	21248	22655	22692
21.1	24927	16876	15339	12818	12580	11176	10491	21477	22732	22735
21.2	24917	16867	15336	12831	12588	11186	10410	21599	22817	22783
21.3	24898	16863	15362	12831	12581	11178	10488	21856	22884	22850
21.4	24905	16867	15314	12827	12579	11190	10543	22052	22927	22919
21.5	24899	16864	15324	12832	12578	11233	10481	22300	23012	22988
21.6	24919	16831	15356	12823	12595	11210	10556	22304	23076	23037
21.7	24890	16850	15353	12828	12593	11194	10636	22523	23180	23164
21.8	24914	16857	15319	12823	12591	11145	10855	22633	23297	23338
21.9	24884	16846	15356	12832	12582	11164	11057	22809	23403	23461
22	24901	16834	15362	12835	12591	11178	10985	22784	23501	23504
22.1	24875	16851	15355	12839	12585	11137	10905	22561	23432	23421
22.2	24911	16849	15362	12833	12596	11138	11154	23018	23622	23680
22.3	24910	16866	15351	12836	12587	11145	11654	23272	23779	23866
22.4	24905	16848	15419	12837	12596	11215	11965	23501	23928	24102
22.5	24905	16852	15377	12828	12592	11267	12313	23497	23963	24254
22.6	24947	16839	15425	12832	12587	11240	12563	23391	23947	24103
22.7	24920	16855	15425	12826	12594	11239	12676	23434	23939	24072
22.8	24907	16854	15432	12846	12584	11245	13311	23637	24076	24333
22.9	24911	16845	15401	12832	12582	11230	14745	23810	24198	24514
23	24896	16825	15429	12816	12601	11218	14902	23859	24284	24657
23.1	24937	16862	15410	12813	12601	11209	15156	23932	24331	24698
23.2	24879	16864	15368	12801	12595	11183	15026	23881	24329	24586
23.3	24908	16871	15345	12808	12607	11173	15473	23895	24341	24585
23.4	24845	16857	15363	12808	12613	11146	15997	23987	24396	24750
23.5	24885	16867	15311	12819	12621	11174	16784	24076	24491	25009
23.6	24890	16840	15351	12806	12610	11220	17234	24002	24468	24934
23.7	24901	16856	15384	12797	12600	11316	18158	24082	24550	25236
23.8	24886	16856	15421	12826	12602	11453	19063	24160	24685	25602
23.9	24894	16866	15394	12829	12605	11518	19727	24252	24760	25746
24	24878	16854	15461	12813	12607	11808	20242	24313	24856	25895
24.1	24878	16855	15427	12841	12586	12223	20566	24318	24909	26057
24.2	24879	16854	15420	12808	12600	12912	21082	24393	25008	26293
24.3	24907	16864	15380	12827	12609	13246	21268	24440	25013	26316
24.4	24874	16850	15367	12846	12614	13468	21230	24319	25016	26306
24.5	24886	16874	15318	12835	12609	13722	21397	24363	25043	26412
24.6	24885	16855	15324	12827	12603	14160	21550	24452	25153	26597
24.7	24912	16852	15309	12822	12606	14629	21494	24399	25153	26586
24.8	24896	16853	15338	12822	12616	15183	21644	24523	25243	26733
24.9	24898	16858	15292	12833	12610	15449	21617	24507	25232	26726
25	24901	16839	15319	12832	12609	15774	21644	24533	25313	26838
25.1	24911	16861	15345	12812	12625	16320	21790	24515	25315	26942
25.2	24886	16871	15386	12815	12616	16690	21890	24554	25360	26977
25.3	24911	16866	15377	12818	12611	17762	21766	24526	25362	27012
25.4	24887	16861	15410	12829	12611	17643	21792	24495	25429	27085
25.5	24888	16872	15397	12824	12614	18119	21830	24504	25453	27385
25.6	24894	16844	15390	12805	12623	18639	21870	24519	25481	27439
25.7	24923	16867	15384	12814	12620	18930	21829	24534	25467	27437
25.8	24913	16865	15418	12812	12619	19474	21960	24477	25485	27234
